original_path,sha256,bytes,category,disposition,destination,notes
benchmarks/absencebench/README.md,b20f852be06f6af1fbe8d3fe4c6111a84228fcaedfd5faf8bf3b6c6dcabe5fba,862,benchmark_asset,retained_and_reviewed,benchmarks/absencebench/README.md,Reviewed in the new repository.
benchmarks/absencebench/runkaart.md,7d3824afa796aa1caf1555126a98f454137d837faa4f9c303e342346b33b3af2,1510,benchmark_asset,retained_and_reviewed,benchmarks/absencebench/runkaart.md,Reviewed in the new repository.
benchmarks/adversarial/README.md,cf99d3189a7b60b80b108a9827a604bfb6df04bd5b68438ee8e98fe5624a15ef,925,benchmark_asset,retained_and_reviewed,benchmarks/adversarial/README.md,Reviewed in the new repository.
benchmarks/open_review/README.md,e29b03a2592211143d264a95f27e44f7b1ad5e329abbcfa82707bfc0eda9aac1,3347,benchmark_asset,retained_and_reviewed,benchmarks/open_review/README.md,Reviewed in the new repository.
benchmarks/open_review/input/README.md,a14b1dfecd142fc5b3c940ccf59956708d344b8243b75da1e3691e30319d35ec,895,benchmark_asset,retained_and_reviewed,benchmarks/open_review/input/README.md,Reviewed in the new repository.
benchmarks/open_review/input/hf_batch.json,abf129868065f4372a739471f0112b4c465316679afb685f319aabddfb649225,9794,benchmark_asset,retained_and_reviewed,benchmarks/open_review/input/hf_batch.json,Reviewed in the new repository.
benchmarks/open_review/rounds/round_001/README.md,1cb99c7cf5afa3136f015c063db787bfd2211125980bbc5478d8182de65b5b41,5828,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_001/README.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_001/STATIC_QUALITY_FINDING.md,f183545313e5cd07fe581465be086b1faaa97f4934dec0e83d2b4feaf3124d7d,5577,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_001/STATIC_QUALITY_FINDING.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_001/reviewer_a_packets.csv,93e4c40ad9ec71eac315c7f239d104959c721a11c1ce1898266309a23a2af9be,25487,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_001/reviewer_a_packets.csv,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_001/reviewer_b_packets.csv,c54a13b637664c59d621fa8bd092f858608015eeaa53c371a421563af2b668fc,25487,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_001/reviewer_b_packets.csv,Historical fixture retained because tests read it directly.
